term,slug,aliases,categories,short_definition,source_name,source_section,entry_method,priority,issue_flags,review_notes
Amniocentesis,amniocentesis,amnio,Tests & Imaging,A test used to check for chromosomal abnormalities like Down syndrome or to determine whether a baby’s lungs are developed enough to be born.,Mended Little Hearts,common_prenatal_tests_and_procedures,manual,2,definition_very_long,
Aneurysm,aneurysm,,Anatomy,"A ballooning of the wall of a vein or an artery or the heart itself due to weakening of the wall by disease, traumatic injury or an abnormality present at birth.",Children's Heart Foundation,glossary_of_terms,scraped,2,short_equals_full_definition,
Angiocardiography,angiocardiography,,Tests & Imaging,A diagnostic method involving injection of a dye into the bloodstream.,Children's Heart Foundation,glossary_of_terms,scraped,2,,
Anoxia,anoxia,,Tests & Imaging;Devices & Equipment;Symptoms & Monitoring,"Literally, no oxygen. This condition most frequently occurs when the oxygen supply to a part of the body is critically diminished. This may result in the death of the affected tissue.",Children's Heart Foundation,glossary_of_terms,scraped,2,category_count_high;short_equals_full_definition,
Anti-coagulant,anti-coagulant,,Medications,A medication that prevents the forming of blood clots,Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,missing_period;short_equals_full_definition,
Antiarrhythmic Drugs,antiarrhythmic-drugs,,Medications;Symptoms & Monitoring,"Drugs that are used to treat disorders of the heart rate and rhythm, such as lidocaine, procaine amide, quinidine, digitalis, propranolol, atropine, and isoproterenol.",Children's Heart Foundation,glossary_of_terms,scraped,2,short_equals_full_definition,
Anticoagulant,anticoagulant,,Medications;Anatomy,A drug that delays clotting (coagulation) of the blood.,Children's Heart Foundation,glossary_of_terms,scraped,2,,
Aorta,aorta,,Tests & Imaging;Anatomy,"The main artery to the body, originating from the base of the heart, arching up over the heart like a cane handle, and passing down through the chest and abdomen near the spine.",Children's Heart Foundation,glossary_of_terms,scraped,2,possible_duplicate_acronym_or_alias;term_nested_inside_another_term,Normalized term is substring of another: vs 'Coarctation of the Aorta'
Aortic Stenosis,aortic-stenosis,,Conditions;Anatomy,"A narrowing at the valve opening, or just above or below the valve, between the left ventricle of the heart and the large artery called the aorta.",Children's Heart Foundation,glossary_of_terms,scraped,2,possible_duplicate_acronym_or_alias;short_equals_full_definition;term_nested_inside_another_term,Another normalized term is substring: 'Stenosis'
Aortic valve,aortic-valve,,Anatomy,The valve between the aorta and the left ventricle (main pumping chamber).,Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,possible_duplicate_acronym_or_alias;term_nested_inside_another_term,Another normalized term is substring: 'Valve'
Arrhythmia,arrhythmia,,Conditions,Any variation from the normal rhythm of the heartbeat.,Children's Heart Foundation,glossary_of_terms,scraped,2,possible_duplicate_acronym_or_alias;short_equals_full_definition;term_nested_inside_another_term,Normalized term is substring of another: vs 'Dysrhythmia (Arrhythmia)'
Arterial Blood,arterial-blood,,Devices & Equipment;Anatomy;Symptoms & Monitoring,Blood that picks up oxygen in the lungs and normally passes from the lungs to the left side of the heart via the pulmonary veins.,Children's Heart Foundation,glossary_of_terms,scraped,2,category_count_high,
Artery,artery,,Devices & Equipment;Anatomy;Symptoms & Monitoring,Any blood vessel that carries blood away from the heart to the various parts of the body.,Children's Heart Foundation,glossary_of_terms,scraped,2,category_count_high;possible_duplicate_acronym_or_alias;term_nested_inside_another_term,Normalized term is substring of another: vs 'Pulmonary Artery'
AS,as,,Conditions;Anatomy,"Aortic stenosis, in which the vessel going from the heart to the aorta is narrow or blocked",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,aliases_empty_for_acronym_like_term;missing_period;short_equals_full_definition,
ASD,asd,,Conditions;Tests & Imaging,"Atrial septal defect, a hole in the wall that separates the right and left atria (top chambers of the heart)",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,aliases_empty_for_acronym_like_term;missing_period;short_equals_full_definition,
Asymptomatic,asymptomatic,,Tests & Imaging,Without symptoms. A person is considered asymptomatic when he does not exhibit functional evidence of a disease or condition.,Children's Heart Foundation,glossary_of_terms,scraped,2,short_equals_full_definition,
Atresia,atresia,,Conditions,absence or abnormal narrowing of a passage,Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,missing_period;possible_duplicate_acronym_or_alias;short_equals_full_definition;term_nested_inside_another_term,Normalized term is substring of another: vs 'Tricuspid Atresia'
Atrial Septal Defect,atrial-septal-defect,,Conditions;Tests & Imaging;Anatomy,"An opening in the wall, or septum, that normally divides the left and right upper heart chambers, called the atria.",Children's Heart Foundation,glossary_of_terms,scraped,2,category_count_high;short_equals_full_definition,
Atrial Septum,atrial-septum,,Anatomy,"Sometimes called the interatrial septum, this is the muscular wall that divides the left and right upper chambers of the heart, called the atria.",Children's Heart Foundation,glossary_of_terms,scraped,2,possible_duplicate_acronym_or_alias;short_equals_full_definition;term_nested_inside_another_term,Another normalized term is substring: 'Septum'
Atrio-Ventricular Node (AV Node),atrio-ventricular-node-av-node,,Tests & Imaging;Anatomy,Part of the electrical (conduction) pathway of the heart that tells the ventricles when to beat,Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,aliases_empty_for_acronym_like_term;missing_period;short_equals_full_definition;term_contains_parentheses_but_no_alias,
Atrium,atrium,the auricle,Devices & Equipment;Anatomy;Symptoms & Monitoring,Sometimes referred to as the auricle.,Children's Heart Foundation,glossary_of_terms,scraped,2,category_count_high,
AVC or AV Canal Defect,avc-or-av-canal-defect,AV Canal Defect;AVC,Conditions;Tests & Imaging,"Atrioventricular canal defect, also known as endocardial cushion defect",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,missing_period;short_equals_full_definition;term_contains_or;term_very_long,
Bacterial Endocarditis,bacterial-endocarditis,,Procedures & Surgeries;Tests & Imaging;Anatomy,"An inflammation of the inner layer of the heart caused by bacteria, sometimes resulting as a complication of another infectious disease, an operation or injury.",Children's Heart Foundation,glossary_of_terms,scraped,2,category_count_high,
Balloon Angioplasty,balloon-angioplasty,,Procedures & Surgeries;Devices & Equipment,"A technique accomplished during cardiac catheterization or surgery using a balloon tipped catheter inserted into a vessel, usually to dilate a narrowing or to open a blockage.",Children's Heart Foundation,glossary_of_terms,scraped,2,,
Balloon Valvuloplasty,balloon-valvuloplasty,,Procedures & Surgeries;Anatomy,"A procedure in which a balloon is inserted into the opening of a narrowed heart valve, then inflated to stretched the valve open.",Children's Heart Foundation,glossary_of_terms,scraped,2,,
BE,be,,Tests & Imaging;Anatomy,"Bacterial endocarditis, an infection of the inner layer and/or valves of the heart, caused by bacteria",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,aliases_empty_for_acronym_like_term;missing_period;short_equals_full_definition,
Bicuspid Valve,bicuspid-valve,,Anatomy,Any valve with two leaflets.,Children's Heart Foundation,glossary_of_terms,scraped,2,possible_duplicate_acronym_or_alias;term_nested_inside_another_term,Another normalized term is substring: 'Valve'
Blalock-Hanlon,blalock-hanlon,,Procedures & Surgeries,Surgical septostomy performed for palliative treatment of transposition of the great vessels,Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,missing_period;short_equals_full_definition,
Blood Pressure,blood-pressure,,Tests & Imaging;Symptoms & Monitoring,The pressure of the blood in the arteries.,Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,possible_duplicate_acronym_or_alias;term_nested_inside_another_term,Normalized term is substring of another: vs 'Diastolic Blood Pressure' | Normalized term is substring of another: vs 'High Blood Pressure' | Normalized term is substring of another: vs 'Systolic Blood Pressure'
Blue Babies,blue-babies,,Conditions;Tests & Imaging;Devices & Equipment;Symptoms & Monitoring,"Babies having a blue color of skin, called cyanosis, caused by insufficient oxygen in the arterial blood.",Children's Heart Foundation,glossary_of_terms,scraped,2,category_count_high,
Bradycardia,bradycardia,,Symptoms & Monitoring,An abnormally slow heart rate.,Children's Heart Foundation,glossary_of_terms,scraped,2,,
BT Shunt,bt-shunt,,Procedures & Surgeries;Anatomy,"Blalock-Taussig shunt, a surgical, systemic-to-pulmonary artery shunt procedure.",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,aliases_empty_for_acronym_like_term;possible_duplicate_acronym_or_alias;short_equals_full_definition;term_nested_inside_another_term,Another normalized term is substring: 'Shunt'
Bundle of His,bundle-of-his,the atrioventricular bundle or A-V bundle,Tests & Imaging;Anatomy,Also called the atrioventricular bundle or A-V bundle.,Children's Heart Foundation,glossary_of_terms,scraped,2,,
Cardiac,cardiac,,General Medical Terms,Pertaining to the heart. Sometimes refers to a person who has heart disease.,Children's Heart Foundation,glossary_of_terms,scraped,2,category_general_medical_terms;possible_duplicate_acronym_or_alias;short_equals_full_definition;term_nested_inside_another_term,Normalized term is substring of another: vs 'Cardiac Arrest'
Cardiac Arrest,cardiac-arrest,,Symptoms & Monitoring,The cessation of the heartbeat.,Children's Heart Foundation,glossary_of_terms,scraped,2,possible_duplicate_acronym_or_alias;term_nested_inside_another_term,Another normalized term is substring: 'Cardiac'
Cardiologist,cardiologist,,Hospital & Care Journey,A specialist in the diagnosis and treatment of heart disease.,Children's Heart Foundation,glossary_of_terms,scraped,2,short_equals_full_definition,
Cardiology,cardiology,,Tests & Imaging,The study of the heart and its functions in health and disease.,Children's Heart Foundation,glossary_of_terms,scraped,2,short_equals_full_definition,
Cardiopulmonary Bypass,cardiopulmonary-bypass,,Procedures & Surgeries;Tests & Imaging;Devices & Equipment;Anatomy,A machine that can perform the function of the heart and lung,Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,category_count_high;missing_period;short_equals_full_definition,
Cardiopulmonary Resuscitation (CPR),cardiopulmonary-resuscitation-cpr,CPR,Tests & Imaging;Devices & Equipment;Anatomy;Symptoms & Monitoring,An emergency measure used by one or two people to artificially maintain another person’s breathing and circulation if these functions suddenly stop.,Children's Heart Foundation,glossary_of_terms,scraped,2,category_count_high,
Cardiovascular,cardiovascular,,General Medical Terms,Pertaining to the heart and blood vessels.,Children's Heart Foundation,glossary_of_terms,scraped,2,category_general_medical_terms;short_equals_full_definition,
Carditis,carditis,,General Medical Terms,Inflammation of the heart.,Children's Heart Foundation,glossary_of_terms,scraped,2,category_general_medical_terms;short_equals_full_definition,
Catheter,catheter,,Devices & Equipment;Anatomy,"A thin, flexible tube that can be guided into body organs.",Children's Heart Foundation,glossary_of_terms,scraped,2,,
Catheterization,catheterization,cardiac cath;cardiac catherization;cath,Tests & Imaging;Procedures & Surgeries,"An invasive procedure where long hollow tubes are inserted through the skin and placed in various chambers of the heart to measure pressures, take pictures of various structures and perform interventions on the heart.",Mended Little Hearts,common_tests_and_procedures,manual,2,definition_very_long,
CAVC,cavc,,Conditions;Tests & Imaging,"Complete atrioventricular canal, the main heart defect seen in patients with Down syndrome",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,aliases_empty_for_acronym_like_term;missing_period;short_equals_full_definition,
CHD,chd,,Conditions;Tests & Imaging,"An abbreviation that can stand for either congenital heart defect, congenital heart disease or congestive heart disease",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,aliases_empty_for_acronym_like_term;missing_period;short_equals_full_definition,
CHF,chf,,Conditions;Anatomy,"Congestive heart failure, a condition in which the heart cannot pump well enough, creating a backup of blood and congestion in the veins and lungs",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,aliases_empty_for_acronym_like_term;missing_period;short_equals_full_definition,
Cineangiocardiography,cineangiocardiography,,Tests & Imaging,"A diagnostic method similar to angiocardiography, except that instead of still x-ray pictures, motion pictures of the heart are made by fluoroscope as an injected opaque liquid is carried through the heart and blood vessels.",Children's Heart Foundation,glossary_of_terms,scraped,2,short_equals_full_definition,
Clubbed Fingers,clubbed-fingers,,Conditions;Tests & Imaging,"Fingers with a short broad tip and overhanging nail, somewhat resembling a drumstick.",Children's Heart Foundation,glossary_of_terms,scraped,2,,
CoA,coa,,Conditions;Tests & Imaging;Anatomy,"Coarctation of the aorta, a blockage in the aorta that may be caused by narrowing of the vessel",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,category_count_high;missing_period;short_equals_full_definition,
Coarctation of the Aorta,coarctation-of-the-aorta,,Conditions;Tests & Imaging;Anatomy,"A congenital narrowing of the aorta, the main artery that conducts blood from the heart to the body.",Children's Heart Foundation,glossary_of_terms,scraped,2,category_count_high;possible_duplicate_acronym_or_alias;short_equals_full_definition;term_nested_inside_another_term,Another normalized term is substring: 'Aorta'
Comorbidity,comorbidity,,General Medical Terms,"When two or more disorders or illnesses happen in the same person, either at the same time or after each other.",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,category_general_medical_terms,
Congenital Anomaly,congenital-anomaly,,General Medical Terms,An abnormality present at birth.,Children's Heart Foundation,glossary_of_terms,scraped,2,category_general_medical_terms;short_equals_full_definition,
Congenital Heart Defect,congenital-heart-defect,,Conditions;Tests & Imaging,Malformation of the heart or of its major blood vessels present at birth.,Children's Heart Foundation,glossary_of_terms,scraped,2,short_equals_full_definition,
Congestive Heart Failure,congestive-heart-failure,,Conditions;Procedures & Surgeries;Medications,Heart failure is a condition in which the heart is unable to pump the amount of needed blood to the body.,Children's Heart Foundation,glossary_of_terms,scraped,2,category_count_high,
Coronary Arteries,coronary-arteries,,Anatomy,"The two arteries that arise from the aorta, then arch down over the top of the heart and branch out to provide blood to the working heart muscle.",Children's Heart Foundation,glossary_of_terms,scraped,2,short_equals_full_definition,
CXR,cxr,,Tests & Imaging,"Chest x-ray, a test where a picture is taken of the heart, lungs and blood vessels in the chest",Mended Little Hearts,glossary_common_chd_terms_and_abbreviations,scraped,2,aliases_empty_for_acronym_like_term;missing_period;short_equals_full_definition,
